Product Code,Product Category,Product Class,Name,CSO Name,Active,Outage,Price
8,FOOD,PRODUCT,Flurry Oreo+Choc,McFlurry Oreo met Chocoladesaus,ACTIVE,FALSE,2.75
13,PAPER,COUPONS,Donatie Kinderf.,Jouw Donatie. Bedankt!,ACTIVE,FALSE,0.5
24,FOOD,PRODUCT,Koffie by gebak,Koffie,INACTIVE,FALSE,0
26,FOOD,PRODUCT,Hotchoc by gebak,,INACTIVE,FALSE,0
27,FOOD,PRODUCT,Cappuc by gebak,Cappuccino,INACTIVE,FALSE,0
28,FOOD,PRODUCT,Dub.Esp by gebak,Dubbele Espresso,INACTIVE,FALSE,0
29,FOOD,PRODUCT,K.Verk. by gebak,Koffie Verkeerd,INACTIVE,FALSE,0
53,FOOD,PRODUCT,Circus Feestje,Circus Feestje,INACTIVE,FALSE,5.3
95,FOOD,PRODUCT,Chili dip los,Chili dip,ACTIVE,FALSE,0.65
119,FOOD,PRODUCT,Fruitdrank Menu,100% Fruitdrank Aardbei-Banaan,INACTIVE,FALSE,0
136,FOOD,PRODUCT,HM Mosterd saus,Mosterd saus,ACTIVE,FALSE,0
137,FOOD,PRODUCT,HM Kerrie Saus,Kerrie Saus,ACTIVE,FALSE,0
138,FOOD,PRODUCT,HM BBQ saus,BBQ saus,ACTIVE,FALSE,0
167,FOOD,PRODUCT,HM Tomaatjes,Snoeptomaatjes,ACTIVE,FALSE,0.65
168,FOOD,PRODUCT,Tomaatjes,Snoeptomaatjes,ACTIVE,FALSE,1.6
171,FOOD,VALUE_MEAL,Lsm BigMac GrtMn,Big Mac\nVoordeelmenu Groot,ACTIVE,FALSE,1.3
172,FOOD,VALUE_MEAL,Lsm QP GrtMn,Quarter Pounder\nVoordeelmenu Groot,ACTIVE,FALSE,1.3
173,FOOD,VALUE_MEAL,Lsm McChicGrtMn,McChicken\nVoordeelmenu Groot,ACTIVE,FALSE,1.3
197,FOOD,VALUE_MEAL,Lsm 2 BM GrtMn,2x Big Mac Groot Voordeelmenu,ACTIVE,FALSE,2.6
198,FOOD,VALUE_MEAL,Lsm 2 QP GrtMn,2x Quarter Pounder Groot Voordeelmenu,ACTIVE,FALSE,2.6
199,FOOD,VALUE_MEAL,Lsm2McChickGrtMn,2x McChicken Groot Voordeelmenu,ACTIVE,FALSE,2.6
216,FOOD,VALUE_MEAL,Lsm 2 Big Mac,2x Big Mac,ACTIVE,FALSE,0
217,FOOD,VALUE_MEAL,Lsm 2 McChicken,2x McChicken,ACTIVE,FALSE,0
218,FOOD,VALUE_MEAL,Lsm 2 QP,2x Quarter Pounder,ACTIVE,FALSE,0